image,Adidas,Amazon,BMW,Apple,Audi,Mercedes,Coca-Cola,DHL,Google,IKEA,InPost,KFC,McDonalds,Pepsi,NewYorker,Zara,Nike,UFC
mercedes_val_04.jpg,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
mercedes_val_05.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mercedes_val_06.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mercedes_val_07.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mercedes_val_08.jpg,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
mercedes_val_09.jpg,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
mercedes_val_10.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
newyorker_val_01.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
newyorker_val_02.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
newyorker_val_03.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
newyorker_val_04.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
newyorker_val_05.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
newyorker_val_06.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
newyorker_val_07.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
newyorker_val_08.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
newyorker_val_09.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
newyorker_val_10.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nike_val_01.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
nike_val_02.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nike_val_03.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
nike_val_04.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nike_val_05.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nike_val_06.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nike_val_07.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nike_val_08.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nike_val_09.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
nike_val_10.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pepsi_val_01.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pepsi_val_02.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pepsi_val_03.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pepsi_val_04.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
pepsi_val_05.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pepsi_val_06.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pepsi_val_07.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pepsi_val_08.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pepsi_val_09.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
pepsi_val_10.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ufc_val_01.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ufc_val_02.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ufc_val_03.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ufc_val_04.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ufc_val_05.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ufc_val_06.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ufc_val_07.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ufc_val_08.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
